Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
4,3,3,3,26,93,1.441,1.529,2.671,2.708,2.087,2.478,2.805,3.437,16,204.0,208.0,136,180,220,268
4,3,15,1,76,112,1.827,1.399,2.783,2.862,2.072,2.439,2.737,3.523,-80,104.0,108.0,28,76,100,144
4,5,1,1,21,59,1.325,1.29,3.033,2.941,1.896,2.051,2.192,2.893,-12,160.0,156.0,92,104,116,152
4,5,1,1,59,88,1.481,1.481,2.773,2.936,2.221,2.301,2.325,2.918,0,108.0,120.0,68,76,80,116
4,5,1,1,88,120,1.376,1.299,2.952,3.019,2.167,2.348,2.534,2.952,-8,128.0,136.0,80,88,96,128
4,5,2,2,22,71,1.675,1.353,2.585,2.713,1.853,2.325,2.585,3.318,-56,136.0,144.0,32,100,136,196
4,5,4,4,12,49,1.482,1.355,2.746,2.7,1.819,1.97,2.278,2.746,-28,148.0,144.0,52,72,112,148
4,5,10,4,12,43,1.647,1.328,3.288,3.288,2.104,2.258,2.493,3.129,-32,136.0,136.0,52,72,96,124
4,5,11,1,21,67,1.392,1.416,2.761,,1.958,2.283,2.395,3.013,-4,168.0,,100,132,140,184
4,5,11,11,67,108,1.446,1.293,2.913,2.736,1.962,2.032,2.163,2.913,-16,164.0,156.0,80,88,116,164
4,5,16,16,88,114,1.379,1.249,3.183,3.387,2.151,1.898,2.252,2.835,-20,132.0,144.0,72,60,76,104
4,5,19,11,67,98,1.567,1.48,2.918,2.776,1.999,2.034,2.376,2.661,-12,144.0,132.0,60,64,96,124
4,5,22,1,88,116,1.542,1.474,3.019,3.019,2.188,2.377,2.537,3.237,-8,100.0,100.0,64,72,80,112
4,5,23,16,88,115,1.529,1.249,2.99,2.99,1.874,2.204,2.334,2.812,-20,120.0,120.0,44,68,76,108
5,2,1,1,48,74,1.713,1.482,3.086,3.016,2.088,2.511,2.684,3.086,-24,104.0,100.0,36,68,80,104
5,2,1,1,75,107,1.567,1.473,3.083,3.145,2.333,2.673,2.673,3.229,-8,120.0,124.0,72,92,92,128
5,2,2,2,48,110,1.704,1.592,2.814,2.72,2.32,2.697,3.053,4.065,-16,176.0,168.0,96,160,200,248
5,2,14,3,33,75,1.541,1.375,2.854,2.854,2.059,2.563,2.644,3.689,-8,140.0,140.0,84,124,128,168
5,2,15,2,48,89,1.648,1.491,2.949,2.949,2.014,2.365,2.766,3.212,-24,148.0,148.0,56,100,132,164
5,2,16,1,49,72,1.758,1.456,3.154,3.114,2.001,2.19,2.395,2.973,-32,112.0,108.0,28,44,60,92
5,2,16,16,72,106,1.473,1.578,3.086,3.173,2.457,2.457,2.674,3.284,20,128.0,132.0,92,92,104,136
5,2,17,16,72,111,1.499,1.543,2.837,2.798,2.477,2.627,2.798,3.233,12,132.0,128.0,108,116,128,156
5,2,20,1,75,104,1.578,1.543,3.06,3.06,2.272,2.462,2.581,3.06,-8,116.0,116.0,64,76,84,116
