Pos	Channel	Cell	MothCell	BirthFr	DivFr	Td	Tri1	Tri2	Tri3	Trt	Tn	Tc	Lb	Lri1	Lri2	Lri3	Lrt	Ln	Lc	Ld	Time
2	1	19	1	51	96	180	-20	168	176	88	88	96	1,293	1,227	2,302	2,384	1,828	1,828	1,853	2,414	24
10	4	20	13	57	96	156	20	144	148	104	100	112	1,366	1,229	2,458	2,559	2,071	2,127	2,263	2,572	24
10	1	19	2	58	97	156	-12	124	128	72	96	96	1,288	1,214	2,384	2,152	1,256	1,745	1,745	2,945	28
10	2	1	1	46	97	204	0	200	200	112	140	140	1,055	1,055	2,721	2,721	1,709	1,959	1,959	2,807	28
1	5	20	13	63	97	136	-28	120	116	60	84	92	1,499	1,151	2,875	2,822	2,052	2,127	2,375	3,066	28
7	3	14	11	62	97	140	4	132	136	92	108	96	1,63	1,647	3,099	3,142	2,467	2,736	2,506	3,233	28
3	4	1	1	55	97	168	4	160	152	100	100	108	1,162	1,187	2,794	2,653	1,781	1,781	2,011	2,819	28
6	2	2	2	58	97	156	12	148	160	108	100	104	1,115	1,125	2,758	3,014	1,973	1,936	2,027	2,958	28
3	4	16	1	55	97	168	8	172	176	92	112	112	1,166	1,207	2,531	2,588	1,624	2,036	2,036	2,657	28
8	3	2	2	44	97	212	56	164	168	140	148	164	1,1	1,477	2,584	2,669	2,163	2,279	2,584	3,45	28
1	5	19	1	61	97	144	20	148	144	100	88	92	1,23	1,209	2,666	2,635	2,118	1,833	1,885	2,635	28
6	3	18	1	62	98	144	-36	144	140	68	100	104	1,071	1,1	2,549	2,489	1,579	1,927	1,988	2,549	32
10	2	1	1	45	98	212	0	204	204	120	144	140	1,041	1,041	2,721	2,721	1,735	1,959	1,927	2,777	32
1	5	20	13	63	98	140	-28	116	116	60	84	92	1,499	1,151	2,822	2,822	2,052	2,127	2,375	3,293	32
10	1	23	1	71	98	108	-64	84	76	4	60	64	1,684	1,323	2,552	2,458	1,689	2,254	2,294	2,983	32
