Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
8,1,10,6,86,154,1.417,1.522,,,1.927,2.099,2.167,2.635,290,,,490,540,580,680
8,1,14,2,149,211,1.634,1.713,2.763,2.763,2.018,2.069,2.309,2.917,90,740.0,740.0,340,460,520,620
8,1,17,1,164,215,1.631,1.829,,,2.384,2.384,2.477,2.875,150,,,360,360,390,510
8,1,18,9,166,204,1.495,1.832,2.816,2.839,2.2,2.279,2.381,2.712,110,690.0,700.0,260,270,280,380
8,4,3,3,69,129,1.384,1.58,3.911,3.731,2.072,2.365,2.599,2.879,180,1030.0,960.0,370,470,520,600
8,4,3,3,130,204,1.289,1.443,,,1.692,1.931,2.552,2.978,420,,,570,580,660,740
8,4,4,4,43,124,1.174,1.738,,,2.332,2.444,2.457,2.624,570,,,730,740,750,810
8,4,5,5,21,69,1.448,1.524,,,1.755,2.141,2.191,2.441,120,,,230,370,390,480
8,4,9,5,21,59,1.373,1.349,,,1.723,2.21,2.21,2.408,60,,,240,330,330,380
8,4,13,3,69,114,1.564,1.677,3.615,3.546,2.168,2.24,2.273,2.549,190,750.0,730.0,360,380,390,450
8,4,15,15,131,186,1.358,1.43,2.956,3.056,1.725,2.012,2.146,2.694,50,630.0,680.0,220,400,440,550
8,4,15,15,185,229,1.294,1.456,,,1.716,2.066,2.066,2.318,80,,,230,350,350,440
8,5,1,1,13,161,1.4,1.741,3.496,3.522,2.075,2.384,2.581,3.043,550,1650.0,1660.0,1140,1310,1370,1480
8,5,1,1,161,239,1.584,1.855,,,2.331,2.697,2.641,3.126,200,,,430,630,610,780
8,5,2,2,24,107,1.514,2.051,3.144,3.222,2.375,2.549,2.772,3.061,440,850.0,970.0,650,700,750,830
8,5,2,2,106,143,1.492,1.658,,,1.924,2.114,2.27,2.306,110,,,260,300,340,370
8,5,3,3,27,98,1.429,1.493,,,1.912,2.238,2.467,2.034,180,,,410,520,620,710
8,5,11,1,14,70,1.228,1.395,2.897,3.114,1.711,2.058,2.207,2.471,150,760.0,820.0,330,470,500,560
8,5,13,2,25,111,1.252,1.904,3.226,3.307,2.229,2.365,2.636,2.748,510,1000.0,1020.0,740,750,780,860
8,5,16,11,70,120,1.166,1.511,3.71,3.403,2.09,2.175,2.238,2.565,270,860.0,810.0,400,410,430,500
8,5,16,16,120,181,1.34,1.976,,,2.009,2.63,2.314,3.359,370,,,500,540,530,610
8,5,21,11,122,181,1.165,1.523,4.351,4.082,2.184,2.595,2.57,2.711,270,960.0,930.0,410,490,540,590
8,5,23,1,161,220,1.459,1.713,,,2.125,2.299,2.494,2.726,200,,,390,460,510,590
9,2,1,1,58,104,1.741,1.97,3.838,4.047,2.506,2.535,2.758,3.034,140,760.0,830.0,320,330,390,460
9,2,1,1,104,206,1.708,2.131,,3.876,2.913,3.095,3.285,3.502,300,,1150.0,720,850,940,1020
9,2,3,3,20,102,1.36,1.81,,,2.106,2.354,2.624,2.956,430,,,580,690,760,820
9,2,11,4,24,62,1.378,1.612,,,2.02,2.159,2.326,2.744,90,,,230,300,330,380
9,2,12,1,57,108,1.42,1.719,3.304,,1.987,2.197,2.158,2.552,230,880.0,,360,420,410,510
9,2,12,12,108,208,1.3,1.792,,4.04,2.502,2.893,3.036,3.345,370,,1230.0,630,860,900,1000
9,2,15,1,104,186,1.327,1.821,3.311,3.752,2.336,2.669,2.669,3.178,380,960.0,1200.0,610,710,710,820
9,3,1,1,33,106,1.881,1.985,3.157,3.157,2.482,2.521,2.61,2.999,140,800.0,800.0,560,600,630,730
9,3,1,1,106,211,1.586,1.667,3.195,3.214,2.21,2.585,2.781,3.158,50,1100.0,1110.0,490,850,930,1050
9,3,2,2,57,115,1.386,1.569,,3.296,2.113,2.136,2.257,2.658,180,,880.0,430,440,470,580
