Lip,Li,Lb,Ld,Td,Tri1
1.225,1.314,1.241,3.083,252,4
1.387,1.387,1.708,3.114,140,-64
1.483,1.222,1.73,3.581,144,-72
1.11,0.838,1.324,3.005,180,-80
1.169,1.031,1.614,3.093,124,-116
1.01,1.153,1.694,3.465,172,-88
1.131,1.511,1.91,3.764,176,-40
1.09,1.101,1.773,3.254,128,-108
1.159,1.209,1.151,2.9,192,16
1.134,1.148,1.734,4.097,160,-92
1.17,1.086,1.876,3.892,128,-112
1.35,1.325,1.577,3.096,196,-32
0.975,1.104,1.58,3.744,160,-52
1.037,0.94,1.431,3.377,168,-104
1.483,1.288,1.925,3.792,152,-76
1.193,1.104,1.418,2.856,136,-48
0.892,0.944,1.436,3.235,180,-68
1.11,1.141,1.703,3.478,188,-72
1.118,1.07,1.658,3.982,204,-84
1.176,1.179,1.548,3.602,160,-32
0.892,1.09,1.496,3.63,180,-76
1.01,1.134,1.67,3.516,176,-104
1.297,1.075,1.401,3.444,144,-76
1.505,1.329,1.826,3.815,188,-32
1.525,1.499,1.659,3.231,160,-36
1.248,1.26,1.52,3.409,200,-32
1.448,1.408,1.613,2.829,164,-36
1.132,1.259,1.421,3.482,220,-44
1.169,1.143,1.833,3.633,148,-108
1.312,1.352,1.415,3.658,228,-12
1.134,0.956,1.716,3.554,172,-96
1.353,1.21,1.57,2.976,152,-28
1.069,1.037,1.643,3.342,120,-104
1.17,1.002,1.541,3.196,148,-76
1.367,1.325,1.499,3.51,160,-24
1.182,1.128,1.597,2.815,120,-52
1.313,1.156,1.649,3.28,124,-56
1.115,0.901,1.378,2.972,136,-76
1.213,0.812,1.55,3.132,168,-148
1.137,1.169,1.374,3.694,164,-20
1.248,1.095,1.314,2.999,220,-36
1.115,1.187,1.703,3.033,140,-72
1.117,1.091,1.6,3.223,156,-96
1.429,1.184,1.648,3.412,112,-52
1.16,1.12,1.111,2.615,240,-4
1.159,1.252,1.195,2.721,232,8
1.146,1.164,1.445,3.087,180,-64
1.213,1.131,1.524,3.398,180,-112
1.08,1.172,1.308,3.181,220,-36
1.313,1.2,1.624,3.413,144,-60
1.367,1.514,1.651,3.456,180,-20
1.099,1.034,1.417,3.145,192,-76
1.09,1.068,1.887,3.527,172,-112
1.426,1.358,1.983,3.326,104,-64
1.426,1.216,1.733,3.213,112,-64
1.429,1.348,1.705,3.184,124,-36
1.288,1.157,1.674,3.57,164,-80
1.297,1.384,1.806,3.825,184,-80
0.95,0.833,1.524,3.406,112,-140
1.337,1.057,1.909,2.921,96,-92
1.04,1.342,1.525,3.11,136,-28
1.395,1.171,1.401,3.187,212,-32
1.407,1.152,1.697,3.752,156,-100
1.317,1.113,1.613,3.745,128,-64
1.515,1.526,1.566,3.781,184,-28
1.217,1.009,1.524,3.437,152,-56
1.053,2.648,2.104,,448,-28
1.182,1.213,1.565,3.12,156,-64
1.097,0.882,1.26,2.736,156,-88
1.401,1.244,1.56,3.23,168,-52
1.219,1.291,1.723,3.126,116,-76
1.081,1.319,1.819,3.704,116,-116
1.152,1.182,1.64,3.3,116,-64
1.407,1.013,1.655,3.098,160,-116
1.292,1.17,1.362,3.812,252,-16
1.228,1.19,1.407,3.769,276,-48
1.095,1.295,1.295,3.202,276,0
1.243,1.185,1.874,3.149,112,-80
1.219,1.144,1.733,3.093,120,-80
1.401,1.348,1.496,3.553,184,-36
1.337,1.131,1.844,3.316,112,-96
1.026,1.138,1.444,3.416,196,-92
1.157,1.147,2.134,3.76,112,-108
1.243,1.065,1.818,3.066,120,-96
1.23,2.079,2.079,,148,92
1.168,1.281,1.613,3.425,160,-68
1.573,1.148,1.406,3.676,180,-96
1.146,1.157,1.278,3.229,220,-48
1.137,1.281,1.361,3.523,212,-28
1.157,0.835,1.755,3.322,120,-120
1.026,0.883,1.421,3.08,208,-104
1.407,1.608,1.619,3.682,204,-44
0.95,0.718,1.423,3.303,140,-144
1.137,1.188,1.514,3.274,160,-80
1.081,0.987,1.601,3.631,136,-112
1.21,1.078,1.784,3.098,132,-132
1.23,1.22,1.441,2.857,160,-60
1.152,1.156,1.592,3.417,144,-64
1.293,1.141,1.64,3.255,148,-96
0.964,0.903,1.506,3.389,160,-88
1.38,1.045,1.725,2.88,140,-96
1.187,1.116,1.924,3.274,100,-100
1.148,1.059,1.915,3.905,108,-128
1.299,1.251,1.514,3.074,140,-80
1.168,1.128,1.473,3.366,192,-36
1.21,1.417,1.94,3.615,152,-116
1.23,1.253,1.584,3.372,152,-72
